Web_page,Time_Stamp
"https://pdfconvertme.com/6g0LIDZSfYOQpNmZNLspkWuC2ZGpZ06MCnhnnXG5VyI?cid=15850679030771336872250480602268394&pubid=2129959-1271847957-0","2020-03-24 22:08:25"
"http://www.performanceonclick.com/jump/next.php?r=2129959&pub_clickid=6262019518418040844&sub1=787432","2020-03-24 22:08:21"
"https://briefext.com/ertlddjjl?external_id=15850678940771336872279110375398702&source=2129959-1271847957-0&cost=&sub_id_1=&acsc=148789842","2020-03-24 22:08:15"
"http://www.performanceonclick.com/jump/next.php?r=2129959&pub_clickid=1321366226150429814&sub1=787432","2020-03-24 22:08:13"
"https://uploadhaven.com/download/e6a5ee81290649f594e64676312c9247","2020-03-24 22:07:16"
"https://steamunlocked.net/prototype-free-download/","2020-03-24 22:06:31"
"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwi6p-DSxbPoAhVlwTgGHXo4BqAQFjAAegQIBBAB&url=https%3A%2F%2Fsteamunlocked.net%2Fprototype-free-download%2F&usg=AOvVaw1p9fOsYb-9DJySKoT-s7Wk","2020-03-24 22:06:30"
"https://www.google.com/search?client=firefox-b-d&q=prototype+pc+game+free+download","2020-03-24 22:06:25"
"https://www.google.com/search?client=firefox-b-d&q=jurassic+world+2","2020-03-24 22:03:06"
"https://www.google.com/search?client=firefox-b-d&q=best+movies","2020-03-24 21:36:42"
"https://securesearch.org/homepage?hp=2&pId=BT170902&iDate=2020-03-22%2010.27.52&bName=","2020-03-24 21:36:32"
"http://securedsearch.lavasoft.com/?pr=vmn&id=webcompa&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200324__yrff","2020-03-24 21:36:32"
"https://guard-web.com/?iq=32&web=fx&zoneid=2809530&clickid=266348427556688105","2020-03-24 21:35:35"
"http://guard-web.com/app/?ref=6005&web=fx&co=IN&dd=6efb0bbb56e39cba5921ce597595b8bf&pa=2809530&cid=266348427556688105","2020-03-24 21:35:35"
"https://uselnk.com/4/2809530","2020-03-24 21:35:31"
"https://uselnk.com/afu.php?zoneid=2809530&var=2809530&rid=wfxzsvAkbQDjdtH2xjZy_Q%3D%3D","2020-03-24 21:35:31"
"https://www.y2mate.com/youtube/XxmbKQkCJoM","2020-03-24 21:34:39"
"http://y2mate.com/","2020-03-24 21:34:36"
"https://www.y2mate.com/","2020-03-24 21:34:36"
"https://www.y2mate.com/en10","2020-03-24 21:34:36"
"https://www.youtube.com/watch?v=XxmbKQkCJoM","2020-03-24 21:33:03"
"https://www.youtube.com/results?search_query=chronicles+full+movie","2020-03-24 21:32:22"
"https://www.youtube.com/","2020-03-24 21:31:55"
"https://securesearch.org/homepage?hp=2&pId=BT170902&iDate=2020-03-22%2010.27.52&bName=","2020-03-24 21:31:36"
"http://securedsearch.lavasoft.com/?pr=vmn&id=webcompa&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200324__yrff","2020-03-24 21:31:36"
"https://securesearch.org/homepage?hp=2&pId=BT170902&iDate=2020-03-22%2010.27.52&bName=","2020-03-24 21:31:09"
"http://securedsearch.lavasoft.com/?pr=vmn&id=webcompa&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200324__yrff","2020-03-24 21:31:09"
"https://www.google.com/search?client=firefox-b-d&q=arthdal+chronicles","2020-03-24 21:30:05"
"https://www.google.com/search?client=firefox-b-d&q=movie+chronicles","2020-03-24 21:28:13"
"https://www.google.com/search?client=firefox-b-d&q=2019+movies","2020-03-24 21:01:16"
"https://www.google.com/search?client=firefox-b-d&q=sachin+malyalam+move","2020-03-24 16:01:40"
"http://www.tamilrocker.de/movies/anjaam-pathira-208/","2020-03-24 15:58:48"
"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&cad=rja&uact=8&ved=2ahUKEwiKhcO187LoAhWEzDgGHXKiA9MQFjADegQIAxAB&url=http%3A%2F%2Fwww.tamilrocker.de%2Fmovies%2Fanjaam-pathira-208%2F&usg=AOvVaw09EUCkWyAFvhJ3BVL59dYe","2020-03-24 15:58:43"
"https://newscomfy.com/anjaam-pathira-2020-full-movie-download-leaked-on-tamilrockers/","2020-03-24 15:58:41"
"https://www.techapis.in/2020/03/tamilrockers-website-tamilrockers-2020-free-movie-download-telugu-tamil.html","2020-03-24 15:58:14"
"https://www.google.com/search?client=firefox-b-d&q=tamilrockers","2020-03-24 15:58:09"
"https://www.google.com/search?client=firefox-b-d&q=best+movies+in+malayalam","2020-03-24 15:53:54"
